model_version,apartment_id,apartment_name,cost_category,cost_category_name_ko,model_peer_count,effective_sample_size,available_model_weight_pct,target_annualized_cost_per_household_krw,expected_low_cost_per_household_krw,expected_median_cost_per_household_krw,expected_high_cost_per_household_krw,expected_mean_cost_per_household_krw,target_gap_per_household_krw,target_gap_pct,target_range_position,expected_low_total_cost_krw,expected_median_total_cost_krw,expected_high_total_cost_krw,indicative_annual_excess_cost_krw,confidence_level,model_status
peer-group-v1.0,A15784601,마곡현대아파트,cleaning,청소비,30,29.75,100.0,173537.49774977495,170675.94115428138,197544.87550665892,222128.3422459893,203673.26908874678,-24007.377756883972,-12.152872958769676,WITHIN_EXPECTED_RANGE,34476540.113164835,39904064.8523451,44869925.13368984,0.0,HIGH,MODEL_READY
peer-group-v1.0,A15784601,마곡현대아파트,elevator,승강기유지비,30,29.75,100.0,12475.247524752474,21564.692568841943,27566.265060240963,34941.17647058824,28997.117416619894,-15091.017535488489,-54.74451291282975,BELOW_EXPECTED_RANGE,4356067.898906073,5568385.542168675,7058117.647058824,0.0,HIGH,MODEL_READY
peer-group-v1.0,A15784601,마곡현대아파트,facility,시설유지비,30,29.75,100.0,62473.50135013501,28529.577464788737,45405.12784090909,73274.4875506659,50735.90983273035,17068.373509225923,37.59129050143907,WITHIN_EXPECTED_RANGE,5762974.647887325,9171835.823863637,14801446.485234512,3447811.4488636362,HIGH,MODEL_READY
peer-group-v1.0,A15784601,마곡현대아파트,guard,경비비,30,29.75,100.0,560915.6435643564,333319.33980582526,407490.8886619,538024.6408345752,454042.477374542,153424.75490245636,37.65108844672959,ABOVE_EXPECTED_RANGE,67330506.64077671,82313159.5097038,108680977.44858418,30991800.490296185,HIGH,MODEL_READY
peer-group-v1.0,A15784601,마곡현대아파트,labor,인건비,30,29.75,100.0,391685.6705670567,460043.7103448276,499916.6955865711,572461.9320920045,516285.7430581714,-108231.02501951443,-21.64981205369084,BELOW_EXPECTED_RANGE,92928829.48965518,100983172.50848737,115637310.2825849,0.0,HIGH,MODEL_READY
peer-group-v1.0,A15784601,마곡현대아파트,repairs,수선비,30,29.75,100.0,43370.60306030603,46043.00970873787,73366.44030668127,128985.7652250662,84144.42478787775,-29995.83724637524,-40.884956556415624,BELOW_EXPECTED_RANGE,9300687.96116505,14820020.941949615,26055124.575463373,0.0,HIGH,MODEL_READY
