apartment_id,apartment_name,cohort_role,search_month,month_start_date,year,month,cost_category,cost_category_name_ko,cost_amount_krw,collection_status,data_quality_status,is_observed,is_negative_amount,expected_component_count,observed_component_count,source_key_match,source_system,operation,collected_at_kst,household_count,management_area_m2,feature_usable,feature_reliable,per_household_available,per_m2_available,cost_per_household_krw,cost_per_management_m2_krw,source_quality_weight
A15784601,마곡현대아파트,TARGET,202509,2025-09-01,2025,9,repairs,수선비,639890.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpRepairsCostInfoV2,2026-07-20T09:09:54+09:00,202.0,20234.98,True,True,True,True,3167.772277227723,31.62296182155851,1.0
A15784601,마곡현대아파트,TARGET,202509,2025-09-01,2025,9,facility,시설유지비,1057110.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpFacilityMntncCostInfoV2,2026-07-20T09:09:55+09:00,202.0,20234.98,True,True,True,True,5233.217821782178,52.24171212425216,1.0
A15784601,마곡현대아파트,TARGET,202510,2025-10-01,2025,10,labor,인건비,6407230.0,SUCCESS,OBSERVED,True,False,9,9,True,K-APT_COMMON_COST_V2,getHsmpLaborCostInfoV2,2026-07-20T09:10:00+09:00,202.0,20234.98,True,True,True,True,31718.960396039605,316.64128158268505,1.0
A15784601,마곡현대아파트,TARGET,202510,2025-10-01,2025,10,cleaning,청소비,2876060.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpCleaningCostInfoV2,2026-07-20T09:10:02+09:00,202.0,20234.98,True,True,True,True,14237.920792079209,142.13307846115984,1.0
A15784601,마곡현대아파트,TARGET,202510,2025-10-01,2025,10,guard,경비비,9319680.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpGuardCostInfoV2,2026-07-20T09:10:02+09:00,202.0,20234.98,True,True,True,True,46137.0297029703,460.57273098367284,1.0
A15784601,마곡현대아파트,TARGET,202510,2025-10-01,2025,10,elevator,승강기유지비,0.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpElevatorMntncCostInfoV2,2026-07-20T09:10:03+09:00,202.0,20234.98,True,True,True,True,0.0,0.0,1.0
A15784601,마곡현대아파트,TARGET,202510,2025-10-01,2025,10,repairs,수선비,639890.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpRepairsCostInfoV2,2026-07-20T09:10:12+09:00,202.0,20234.98,True,True,True,True,3167.772277227723,31.62296182155851,1.0
A15784601,마곡현대아파트,TARGET,202510,2025-10-01,2025,10,facility,시설유지비,1057090.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpFacilityMntncCostInfoV2,2026-07-20T09:10:12+09:00,202.0,20234.98,True,True,True,True,5233.118811881188,52.24072373681615,1.0
A15784601,마곡현대아파트,TARGET,202511,2025-11-01,2025,11,labor,인건비,6426910.0,SUCCESS,OBSERVED,True,False,9,9,True,K-APT_COMMON_COST_V2,getHsmpLaborCostInfoV2,2026-07-20T09:10:12+09:00,202.0,20234.98,True,True,True,True,31816.38613861386,317.6138548197231,1.0
A15784601,마곡현대아파트,TARGET,202511,2025-11-01,2025,11,cleaning,청소비,2876060.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpCleaningCostInfoV2,2026-07-20T09:10:12+09:00,202.0,20234.98,True,True,True,True,14237.920792079209,142.13307846115984,1.0
A15784601,마곡현대아파트,TARGET,202511,2025-11-01,2025,11,guard,경비비,9319680.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpGuardCostInfoV2,2026-07-20T09:10:12+09:00,202.0,20234.98,True,True,True,True,46137.0297029703,460.57273098367284,1.0
A15784601,마곡현대아파트,TARGET,202511,2025-11-01,2025,11,elevator,승강기유지비,0.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpElevatorMntncCostInfoV2,2026-07-20T09:10:20+09:00,202.0,20234.98,True,True,True,True,0.0,0.0,1.0
A15784601,마곡현대아파트,TARGET,202511,2025-11-01,2025,11,repairs,수선비,817690.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpRepairsCostInfoV2,2026-07-20T09:10:25+09:00,202.0,20234.98,True,True,True,True,4047.970297029703,40.40972612772536,1.0
A15784601,마곡현대아파트,TARGET,202511,2025-11-01,2025,11,facility,시설유지비,1057090.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpFacilityMntncCostInfoV2,2026-07-20T09:10:28+09:00,202.0,20234.98,True,True,True,True,5233.118811881188,52.24072373681615,1.0
A15784601,마곡현대아파트,TARGET,202512,2025-12-01,2025,12,labor,인건비,6407230.0,SUCCESS,OBSERVED,True,False,9,9,True,K-APT_COMMON_COST_V2,getHsmpLaborCostInfoV2,2026-07-20T09:10:31+09:00,202.0,20234.98,True,True,True,True,31718.960396039605,316.64128158268505,1.0
A15784601,마곡현대아파트,TARGET,202512,2025-12-01,2025,12,cleaning,청소비,2876060.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpCleaningCostInfoV2,2026-07-20T09:10:33+09:00,202.0,20234.98,True,True,True,True,14237.920792079209,142.13307846115984,1.0
A15784601,마곡현대아파트,TARGET,202512,2025-12-01,2025,12,guard,경비비,9319680.0,SUCCESS,OBSERVED,True,False,1,1,True,K-APT_COMMON_COST_V2,getHsmpGuardCostInfoV2,2026-07-20T09:10:34+09:00,202.0,20234.98,True,True,True,True,46137.0297029703,460.57273098367284,1.0
